@relation _home_developer_dataset_rev_freshrevs_train

@attribute text string
@attribute @@class@@ {neg,pos}

@data
'We booked a room through lastminute.com purely because of the picture on the website. However, the room allocated was on the 5th floor and was very disappointing. The floor was creaky and the room was very much in need of redecoration. The paint was falling off the window ledge which was also in need of cleaning. Of particular concern was the kettle which was far from clean inside. Overall the room was not of a 4 star standard although the communal areas were much better.However, the buffet breakfast was good.So make sure you are booking for the right room! Liked &#x2014 BreakfastDisliked &#x2014 Room',neg
'My husband and I stayed here recently, we paid for a \'double room\' but on arrival we found the bed to be a fraction bigger than a single. I called down to reception to complain and after speaking to a rude receptionist I was passed over to the duty manager who told me that the hotel was full and we couldn\'t be upgraded to a better room and that the bed was considered a standard double for the hotel. Despite having a four star status, our room lacked a mini bar and I was charged for my morning newspaper which should be a complimentary service for any hotel that is four stars or above. We would not recommend this hotel to anyone and we will certainly not be returning.',neg
'The hotel could do with a make over it\'s looking very out of date and old. The meeting rooms are also very tired and could really do with new carpets.',neg
'We booked our company xmas do here on 01/12/06 and in total we had about 10 rooms. All the other people in our party had rooms on the 4th Floor, which was really nice and modern. Although the rooms were quite small, they were really nicely decorated. My friend and I then made our way up to our room on the 5th Floor. The minute the lift opened it looked like a different hotel!! Our room was large, but it smelled horrible. There was a really stale smell of smoke and damp. There was also holes in the walls and the whole place looked like it hadn\'t been decorated since the seventies!! I immediately rang reception to ask them if it was a smoking room (since we had booked a non smoking one) and they said it was. I asked if they could move us to a non smoking room and was told quite abruptly no. I then asked if they could just move us to any other room and again I was told no. The only thing they could do was get housekeeping up to open the window. When I informed them that the window was already open when we came in, they said they would send housekeeping up with an air freshner!After seeing the photos on the website and also seeing the other rooms that our party were staying in, I felt really disappointed with this hotel. We also heard other guests chatting to each other in the lift and they were all complaining about rooms on the 5th Floor. The only good thing about the hotel was the night porter, who when we returned from our night out, was very helpful in getting us drinks etc.Liked &#x2014 The night porter and events manager were very helpfulDisliked &#x2014 the rooms on the 5th floor are horribleTips/Secrets &#x2014 Don\'t stay on the 5th Floor!',neg
'I booked a hotel room via the hotel website. Then I received an automatically confirmation and everything seems to be fine. One week later I got an Cancellation Confirmation but I did NOT cancel anything. I wrote an email to them and asked why they cancel my room, but I did not receive any answer to this question...So I decided to book a room in another hotel...SO DONt BE SURPRISED IF YOU GET AN AUTOMATICALLY CANCELLATION CONFIRMATION WITHOUT CANCEL ANYTHING!!! Terrible Service!',neg
'Was persuaded by corporate booking agent to try this place instead of my normal option in Leeds (Bewleys). B&ampB deal was £15 cheaper per night...why not to save some cash? Looking at the website you get a deceptive view of an up to date, chic hotel. It boils my blood when chains buy up \'heritage\' properties, give them a cheap makeover and leave the place looking as unloved as it did before the makover, but just in new shades of beige and brown. The staff at breakfast were to be commended, warm, friendly and efficient. The check in staff should learn to smile and work quickly. Rubbish choice of room service food, and the desert I got in no way did it resemble the description, for £6+ you would expect some accuracy. Worst night\'s sleep in years thanks to the crack under the door letting in lots of light, an unpleasant smell from the bathroom and poorly fitting windows that let in noise. Housekeeping not a priority, found papers relating to a previous occupant in a drawer, there were stains and marks on the curtains and bedding. Nasty. Bathroom layout so small and awkward it was impossible to switch on the shower without first climbing into the bath (over the toilet) and enduring cold water before you could work out how to get hot water. unless you need to go cheap, don\'t bother.',neg
'Was this review helpful?Yes Problem with this review?var JS_mem_travelnet_friends_disabledM2M = \"You have disabled member-to-member communications\"var JS_common_Clickhere = \"Click here\"var JS_mem_travelnet_friends_turnOn = \"to turn the feature back on and send your message\"var JS_common_close = \"close\"var JS_js_common__207f = \"Are you sure?\"var JS_common_Yes = \"Yes\"var JS_common_No = \"No\"Ask jonesdr about Metropole Hotel (The Met) This review is the subjective opinion of a TripAdvisor member and not of TripAdvisor LLC. ValalNewcastle upon Tyne, England2 reviews 39 helpful votes Very nice hotel, gracious and relaxingReviewed April 7, 20039 people found this review helpful Was this review helpful?Yes Problem with this review?var JS_mem_travelnet_friends_disabledM2M = \"You have disabled member-to-member communications\"var JS_common_Clickhere = \"Click here\"var JS_mem_travelnet_friends_turnOn = \"to turn the feature back on and send your message\"var JS_common_close = \"close\"var JS_js_common__207f = \"Are you sure?\"var JS_common_Yes = \"Yes\"var JS_common_No = \"No\"Ask Valal about Metropole Hotel (The Met) This review is the subjective opinion of a TripAdvisor member and not of TripAdvisor LLC. A TripAdvisor MemberLeeds, West Yorkshire1 review  Memorable Wedding BreakfastReviewed September 9, 2002',neg
'Stayed at this hotel for a romantic break away, booked it via another website but when we arrived the room we were allocated was on the 5th floor and it was far from a 4*rating, the bed was broken, the room looked dirty, the bathroom was stained and the bathroom door would not close. We were not happy!!!! We went down to reception to express our disatisfaction, the gentleman we spoke to was very good he explained that some of the rooms were waiting to be renovated but he would move us to another room, he expained that the standard rooms did have an extra charge but the hotel would meet this cost for us. The room we were given was lovely, the bed was very comfortable and the staff friendly and the room looked as advertised on the website. (3rd floor)I would say that to avoid disappointment I would avoid anything on the 5th floor, the 4th floor I cannot comment on but we found our stay more than comfortable on the 3rd floor.',neg
'On checking in I specifically asked for a room in a quiet location. I was told that the room we had been allocated (203) would be fine because it faced a quiet alleyway. WRONG! At about 5.30am the hotel bins started to be emptied into a lorry parked in the \'quiet\' alleyway under our room. This continued for about 45 minutes after which it wasn\'t possible to get back to sleep. The noise was more noticeable because the windows were badly fitting, old and single pane.The room was also next to the stairs so we frequently heard the fire doors banging.Not only that, the room was tiny, the bed a small (very soft) double and the bathroom very cramped. I wondered whether the hotel thought I was staying on my own and had allocated me a small room because there was also only one shower gel &amp shampoo but when I queried this I was told that that was the same size of all double rooms.Afterwards I found out that this wasn\'t the case!Finally, the room was really hot but we couldn\'t open the window because of the noise outside. The only saving grace was that when I checked out and complained about the noise in my sleep deprived state, I was given complimentary breakfast so that I could have a coffee to wake myself up!How hard can it be for staff to know which rooms are quiet? Never again The Met!',neg
'very bad service, poor food, but high prices for india. choose somateeram or travancore resort. you even cannot compare!!!!',neg
'How would you rank a hotel that overbooks like a budget airline, so that when you show up with your reservation they tell you you don\'t have a room?This is a hotel that pretends to be classy but in reality treats its customers no better than Travelodge or Motel 6. The car parking is insufficent for the hotel, so if you book on the basis of this as one of its plus points prepare to be disappointed when you walk from the railway station carpark in the rain as we did,Rubbish, cr@p, garbage, overpriced. I think that covers it!Room Tip: Pick a different hotel if you want to guarantee a room at all!See more room tips',neg
'This place is for the ayurvedic treetment purpose not for the family to spend the life, I have got some 3000 gift voucher for 2 night 3 days, i went by car from bangalore, if you dont have car please dont go..., we drived around 400km and found the place palakkad, we thought its hilly station but its not that..after we asked for the Kairali which is 10km from palakkad, once we reached there we felt we have taken wrong decision, food was worst like patients serverd kind but you need to pay 300 for that, the resort guys only intersted in foreign people as they come for ayurvedic and pay handsome money like 60k for 1 week, if indian goes they wont care tall, we got bored and though to go out we came to know there is falls in place DHONI after driving 25KM from resort, we came to know they are not allowing people to go fot the falls. and there is no much places to see and also food is worst and language problem, there people cant speak hindi also, so you can servive if you know malayalam only.please dont go to this place,',neg
'We booked this hotel because we got a cheap deal through Travelzoo. We have stayed at this hotel before in one of the contemporary rooms which aren\'t bad but nothing special. Upon check-in I asked if there was a contemporary room available - I was advised that the hotel was fully booked so we had been allocated a standard room. The room in question - 601 was actually up on the very top floor. There is only one creaky lift in the place which goes up to the 5 floor only so we then had to carry our bags up a further 2 lots of stairs - we were not offered any help with them by the miserable and unhelpful staff on the reception. Once we got into the room we were shocked with the general state of it - as another Trip Advisor reviewer has said - do not be fooled into thinking that all of the rooms are going to be like the rooms pictured on the website. How they can even use the \'standard rooms\' and class them as 4 star is beyond me. The room was extremely hot - there was no air conditioning and the furniture was like something the charity shop would reject. The floor was creaky and the room was in need of redecoration. The paint was falling off the window ledge which was also in need of cleaning. There were also cobwebs and dirt everywhere. There was a fan in the wardrobe which we got out because we were so hot and it was black with dirt - needless to say we did not use this. The kettle boiled but did not switch itself off so was a potential fire hazzard. The bathroom again was filthy - the shower curtain had brown stains all over it.Breakfast was nice - that was the only good thing about this hotel!Upon check-out we were not even asked if we had had a nice stay etc - they are probably used to getting compaints so dont ask!We have stayed at many hotels in Leeds - this is by far the worst - AVOID!',neg
'Stayed here for three nights to relax after Cairo and a Nile cruise. Hotel facilities are of the highest quality and service is generally excellent. Hotel is isolated and quiet which is fine if that is what you are looking for but there is a general lack of atmosphere. It felt like an elegant sanatorium (not that I have ever been to one) or a celebrity \'drying out\' clinic. What really annoyed me was the price of food and drink which is trully exorbitant even by the standards of other high quality hotels in Egypt. And let\'s not forget the automatic 12.5\% service charge levieed on everything, even the bottled water. We had gone on an Oberoi Nile cruise and stayed at the Oberoi in Cairo both of which are expensive but not to the level found in Hurghada. Examples include paying over £30 for two burgers and cokes for lunch and being offered a packet of Pringles crisps for £7.50 from the mini bar. We were told by our tour rep not to book taxis through the hotel as they charge twice as much as through a tour company. This level of pricing has to be driven by the lack of nearby alternatives. It felt like the hotel recognises it has a \'captive\' audience and is determined to milk it for as much as it can. Altogether it left us feeling ripped off and no level of quality or service can compensate for that.',neg
'I went there for a job-related meeting and the secretary of the company I visited booked me a room in this hotel, so I didn\'t have a say in choosing this hotel. I still thought it looked like a nice hotel, and it is in a very central location so I was quite excited to be able to stay there.When I got there I was shown a room with lots of exhaust noise, with a double bed. I asked the reception person (who turned out to be the manager) to show me another room that didn\'t have that much noise. Then she showed me a tiny room with a bed half the size of the one in the noisy room. Then I asked her whether it was possible to get any room that would be bigger than the tiny room without much noise, she told me only smoking rooms would be available. The smoking room was full of smoke smell, because this hotel does not have any air conditioning in the rooms. Nor could I open any of the windows. So I settled for the extremely tiny room (without ventilation, but it was without much noise/smoke). That was the tiniest room I stayed in in England. The breakfast which would otherwise cost 15 pounds was in a dining room on the ground floor. There was also a lot of noise coming from some fan, so I couldn\'t even read the newspaper I brought with me. Then, on the checkout, a very disgruntled receptionist told me I needed to pay for the newspaper that was delivered to my door. I have never been charged for a newspaper without being told that it would cost so I contested the charge. The receptionist was so rude (and I thought I had seen the worst already) and refused to help. The manager came out after five minutes of my waiting and erased the charge because she was the one who simply asked whether I wanted a newspaper or not in the morning without telling me that it would cost 70p. It was the worst hotel I have ever stayed, because of the attitudes (and meanness) of the staff, total lack of ventilation in the rooms, and generally deserted feeling of the whole establishment. I am very good at finding at least one nice point about any hotel. But the Met, I cannot find any positive factor that makes it recommendable in any way. The location may be prime but at night the area gets very deserted, without anything in the immediate environs. If you like a very soft bed, you might like the bedding.Disliked &#x2014 unhelpful (and mean) staffTips/Secrets &#x2014 smokers might appreciate it, many of the rooms are smoking rooms and are very smoky',neg
'I don\'t think this hotel would get four stars in any country other than England. While the foyer has certainly been decorated to four-star standard, the rooms are seriously in need of renovation. Window frames were crumbling, curtains were filthy and the lack of double glazing meant constant traffic noise. Noise from inside the hotel was even worse, especially as my room was right next to the lift. Spend your money elsewhere.Liked &#x2014 Central locationDisliked &#x2014 No double glazing',neg
'My wife and I stayed at the Gateway Hotel Cochin during our honeymoon around Kerala. We liked the location as it was near the city and we could do our shopping and eatouts. But at night the corridors were incredibly noisy. There were some bunch of drunk bachelors, or tourists visiting, I dont knw who were howling throughout the night. Even after complaining to the reception the noise persisted. May be a one off thing. In terms of room, the rooms were clean, there was an half empty soda bottle in the mini bar, which they promptly replaced. We were planning to stay for three days but had to check out the next night itself. check out was easy, and I did register my complaint. Probably the quality of guests cannot be controlled, but this sure is not - there is NO flexible pipes in the bathroom to clean yourself :-) , Only Mug and Tissue paper!!So...yeah if you are Indian be ready for some cup cleaning..really big turn off for us.',neg
'booked through laterooms.com. Searched a few hotels and picked this one as it was a little bit more expensive, it sounded good and the pictures were nice. I was very very disapointed. The room was TINY with single bed. I wasnt able to book in for nearly 2 hours as they had a problem with the water. A few people were waiting in the lobby to check in and not once they they come over and offer a complimentary drink- which i think would have gone a long way. When i eventually checked in the room was tiny and freezing cold. I rang down to complain and she told me to wait for heat to come on ( it was 7pm!) and turn the knob. I told her it didnt work and she said she would send someone up. She didnt. I waited 45 minutes and eventually rang down again, where she acted like i never rang in the 1st place. She said its probably the water problem ( do you think)?!! and if everyone else had the problem she would send the blow heater. at this stage i was wrapped in scarf and throw over. I ordered room service which was not that nice and watched a movie in which the sound quality was so bad i had to turn it off. Plus, i was sure i read they had wi-fi only to discover it was broadband and you had to pay 50p per minute!!you also had to pay for parking, when it doesnt say that on the webiste. in summary, dont be fooled.',neg
'Hi,This is for everyone who are not always lucky .I went to Vizag last weekend to spend a relaxing holiday. I had booked myself at The Park after going through all the reviews at various websites. They were offering a 3 nights 4 day tour package.I was duly picked up after reaching Vizag. After an okay check-in, I went upto the room to drop my luggage. I was in for a big surprise. The room was pretty normal without any carpets. The bed was a wrought iron bed of a size bit smaller than the normal queen size. The basin and bathtub had water logging issues. the shower does not work. The bathroom is so badly litup that I could hardly shave. The furniture is all rustic and dirty. I was double checking every surface before keeping my stuff. The view of the sea is good. But with a foul smelling bathroom and an untidy room, no amount of beach view really attracted me. I called up the management and asked them to rectify the room. But as you can see from my description, there were lots of things which were wrong therein. I then checked out their superior rooms which were somewhat cleaner but not of the standard of The Park. I have stayed at The Park in Chennai, Calcutta and Gangtok. But this facility in Vizag is not even remotely close to the standards. I was very shocked. I checked out in flat 20 minutes, lost 2000 INR and booked myself in Taj Residency. Taj lived upto its standards. I paid almost the same money as in The Park. I did not have a private beach..but then it was not my honeymoon where I liked to be the only one having a beer on the beach with my wife. So I enjoyed the beach as any other traveller. It was a long weekend and there was a decent crowd. But I never missed anything like the private beach experience of The Park. So folks, I might be the first one to write up this..but please be careful. You might check the rooms and facilities before checking in..so that you donot lose money and have a misadventure like mine. ThanksLiked &#x2014 LocationDisliked &#x2014 The hotel roomsTips/Secrets &#x2014 Check it out in person before going in',neg
'this is one of the hotels where u find everything... scenic beauty, leisure, romance, huge place, good rooms and guess what else? insects in food! shocked? so was i! i couldnt believe my eyes. and guess what management did? just a simple sorry. i also wrote a complaint but didnt receive any feedback!!!!! later on i thought its such a big blunder from hotel like leela. no one can expect such a thing from hotel like leela. i mean insect which germinates when food is stale????? (illi in hindi). i hated the thought that i already had meals from them dont know what all i ate. such unhygenic condition. dont know how they pass QC. the least they could have done was made our stay complimentary but what did they do? didnt even reply to my complaint. Even a normal three star hotel will be more hygenic than them. So u guys going to leela check out ur food. it can be expired and stale and full of insects.',neg
'I stayed here because a company that had hired me to do some training for them had booked the hotel for the training on the following day. I arrived at around 9.50pm, and was told that the restaurant was closed, although I could order room service. My room was on the 6th floor, but the elevator only goes up to the 5th floor. The room itself was in the attic, with a sloping roof, very old-fashioned, and the wireless internet did not reach my room. There was no air-conditioning in my room, and the window only opened four inches, so I slept poorly. The bathroom was clean, but dingy, and the hot water for the shower lasted about 2 minutes, and then went cold. The service in the restaurant was friendly, but inept. When I asked for tea, on both occasions it took ten minutes to arrive. More importantly, breakfast did not begin until 7am fine for those on vacation, but not geared to the needs of business travellers. I won\'t be going back.',neg
'Despite the positive reviews, with which I generally agree, I must ask: Who would want to stay at a hotel -- any of the Taj hotels -- that charge dual rates, one for people who appear to be Indian and have Indian surnames and a much higher rate for all others. Yes, I know. Taj policy requires Indians living abroad to pay the foreigners\' rate, but I\'ve never seen the desk clerk as for evidence of an Indian residence, and I\'ve seen many, many Indians resident abroad paying the Indians rate.',neg
'Based on other reviews, the hotel sounds nice.I attempted to book directly with Oberoi Reservations but after being given an itinerary on a 8Night Package (Udaipur, Delhi, Agra) they then found that they had no rooms available and wanted to rearrange my trip, which would have required me to reschedule 4 flights and 2 train trips.The root problem is that the staff can\'t hold rooms apparently while the vacation is being planned and there is no way to book the 8,10,12 night vacation package inmmediately online that I can find.One would think if your planning a week+ of travel with them at over $5K USD they would be able to handle it.I unfortunately wasn\'t able to get past the booking process with them.I ended up booking the Leela instead -- it took about 10 minutes thru their website, as opposed to my adventure with reservations@oberoigroup.comI\'d suggest ignoring the descriptions of 8,10,12 night exotic vacations package on their website which requires contacting Oberoi directly and just book a regular stay thru the website for each destination. If I had done that, I\'d probably have had a better experience or at least a reservation.',neg
'I think the title says it all. Turned up at the hotel after an evening out (approx midnight) and the door was locked. I was stood outside for at least 20 minutes ringing the bell before 2 staff came along - why wasn\'t one on reception? No apology was given. By the time I got in the hotel I was fuming (remember, I didn\'t know they would be 20 mins, as far as I knew I was locked out all night and was thinking about booking in somewhere else). Also in the morning there was no hot water. Apparently one boiler had broken, and the other didn\'t work. Great. Fortunately for me I could get a shower at work, but this would be terrible for other people.I\'ve stayed in the Met before and it was OK, but the above two things happening on the same day mean I will never stay there again. Who wants to stay in a hotel they might not be let into, and not be able to get a shower? Utterly, utterly rubbish.',neg
'My Wife and I booked this hotel for a Birthday weekend. We paid extra for a Contemporary Double.We parked at the hotel at 12.15pm on the Saturday and had to pay an extra £10 for every 24 hours. I have never had to pay extra for car parking at the many other 4* hotels that we have stayed in acos the country. Whilst the public areas were fine if rather faded the room ( No 314 for the record) was atrocious! It was small, dark and shabby. We had a view of the fire escape and how it could be classed as contempory I don\'t know. We wondered what the standard rooms would be like! There was insufficient lighting which made it difficult to see in the mirrors. It was like living in a half light. Awful!The bathroom was so tiny that we could only enter one at once, there were few toiletries so we were so glad that we brought our own. No fridge (all ther 4 star hotels we have stayed in have had a minbar/fridge), only 3 tea bags with no choice, and not even a biscuit. The sink in the bathroom was clearly designed for a dwarf such that it was almost impossible to fit the ketttle under the tap to fill it!!There was a huge hole in the door that had been roughly filled with bare plaster! Had someone attempted to escape?There were insufficient pillows for the bed and despite several attempts to get hold of Housekeeping or Reception we just gave up tryng to get hold of more.The wardrobe was small but adequate but a huge electric fan sat in there which obstructed the hanging sapce so we ended up having to drag it out to hang our clothes properly.Breakfast was of a standard 2 star B&ampB quality.Our advice if travelling to Leeds is to try the City Inn, Radisson, Thorpe Park Spa or 42 The Calls. Avoid this one if you want an enjoyable stay.',neg
'My girlfriend and I took trip over to Willingdon Island, Cochin, to try out the spa treatments at the Taj hotel only to find that the spa was being renovated on the same day. The staff advised that the spa would be open the next day so we booked in for massage treatments and some general pampering. We were told that we could utilise the pool facilities being as we were booked in for Rs5000 (£65) worth of treatments.The next day we took the ferry over to the hotel looking forward to relaxing by the pool, a spot of lunch and our treatments. Upon arriving the same woman who had booked us in for the treatments the day before completely denied that she had said that we could use the pool facilities and wanted to charge us an extra Rs1000 for the privilage. These people really don\'t understand the concept of good customer service do they!We were willing to pay Rs5000 for treatments and expect to use the pool at the same time but not be charged an extra Rs1000. I promtly told her to cancel all the treatments and debit my credit card just Rs1000 as we would only be using the pool facilities for the rest of the day.Her face turned to stone at the thought of the canceled appointments, missing out on the extra Rs4000 and that fact that we were staying around all day to rub it in.Needless to say that we used as many towels as we could, made as much noise as we could and generally made her aware all day long of her bad attitude and poor customer service skills.I understand that hotels such as the Taj Group are quite expensive and the majority of their guests have money to throw away, but with the money grabbing attitude of the Lady who was running the Spa centre it is certainly not a place I would recommend or return to.',neg
'Have been to the met before for a conference so knew the main facilities were ok, but immediately entering the room I was disappointed. Fifth floor twin with little room to swing a cat, and as some other revieweres have noted, very dated, shabby and lacking in any facilities.The bar and restaurant were staffed by friendly, if somewhat undertrained staff who were helpful but not overly on the ball with service. The food was fine and room service was quick.I would rather have stayed in a travel lodge or inn in hindsight, but expectations were a lot higher than acheivements.Definitely no a four star in my opinion, but ok if you want close to the station or amenities, although there are several better within the same type of distance.Liked &#x2014 Leaving itDisliked &#x2014 Entering it',neg
'My partner and I live in Leeds and as the hotel is known to us and looks lovely from the outside we decided to combine a stay there with a trip to the theatre.The hotel upon arrival is very nice and modern and the staff on check in were polite and friendly.We asked for a smoking room which was on the 6th floor. The rooms are very small, albeit clean and tidy but certainly not to the standard as shown on the website. Apparently the contemporary rooms are extra. There were no ashtrays in a smoking room, which is odd.Breakfast was a nightmare. there were alot of free tables but none cleared so you had to sit in the reception and were called in. There was only 1 person clearing tables and 1 serving teas and coffees. Milk was not brought with your drinks so when asked for some they simply took it form a table which had been left but not yet cleared, as they did with the cutlery....The hot food was biffet, although not a great choice, when it was there it was hot. The problem was they kept runnign out of food and it took 10 minutes to replace it and then it ran out again. Not surprising when they filled it only with 4 rashers of bacon. the dining room certainly needs more staff, as that really marred the stay.I certainly would not choose to stay there again.Liked &#x2014 the entrance to the hotel and bar areas have been nicely refurbishedDisliked &#x2014 the dining room and the size of the bedroomsTips/Secrets &#x2014 stay at another hotel',neg
'We have just returned after 10 nights at The Oberoi.We were looking forward to our stay having read the reviews and received recommendations from friends about this hotel.Sadly, our experience was very different to those described on this review forum. The suite was very nice, clean and well stocked (had to remind them on a few occasions to re stock certain things - but overall good). Internet connections not working in serveral of the areas, including the main reception. The breakfast selection was good, varied but we has to wait at least 20 minutes for things like toast, pancakes etc if ordered.The service (in terms of speed and efficiency) was patchy to say the least. It was not unusual to wait 15-30 minutes for food in the main dining room at least and then the same again for them to clear the table! The pool service was equally as bad with the only exception being a waiter called Sallem.....very good! The pagola bar/restaurent was very slow in terms of service with food sat around on tables long after the occupants had left. This attracted flies and when watching the staff, tables were not cleaned down afterwards in preparation for next diners - just simply relayed.To add insuly to injury with the sketchy standards and service, 4 days in to our 10 night stay, we came down with serious stomach upsets that required drips, injections and drugs from the doctor. Over the next 6 days we were both very, very ill together with, to our knowledge, 6 other guests all requiring the doctor. I can only assume this was down to poor standards of cleanliness around the hotel and food preparation ares. This must have been an isolated incident though as the hotel has a very good reputation?? Perhaps standards temporarily sliped, new staff, short staffed, poor, slow service...who knows but, we would never, ever return (unless of course you require a severe wait loss programme)!!!',neg
'Building. This is one of those hotels designed by architects to impress, not to make guests feel comfortable. Depending on the section you stay in, you may have long walks inside to your room. The exterior is a feast of polished marble and sandstone on many levels with unlit hazards. There is very little green for such a huge area.Service. The staff are plentiful, but poorly trained. Their presence is intrusive but ineffective. We found it impossible to walk in the grounds without being followed and being asked repeatedly if there was anything you needed. We only ate breakfast in the hotel. The selection was far inferior to that offered in other hotels we stayed in for a similar price in India and indeed that offered in far less expensive hotels service largely ineffectual. A half hour wait for a poached egg could be a world record. Meanwhile there were no shortage of people trying to sell the spa - even intruding on your breakfast in their attempt.Our room was large with everything you could need, but much you could live more comfortably without. The clutter of klitch was oppressive. This is not real luxury but a pastiche put on by people who appear not to understand, or care, what travellers need.Room Tip: Get a room in the same block as reception and the restaurant if you want to avoid an interminable wa...See more room tips',neg
