@relation _home_developer_dataset_rev_freshrevs_test

@attribute text string
@attribute @@class@@ {neg,pos}

@data
'i have stayed there once.. its quite old hotel .. now a days u will get now a days u will get better hotel with much better location.. so i would suggest to avoid staying..room service was not up to the mark..',neg
'My family and I had been planning my grandmother\'s 82nd birthday celebration for months. We finally decided on Bahia Marina. There were 7 of us and one of our rooms was not ready yet. The first thing we did when we arrived was take my grandmother to her room to get her situated. When we entered the room, the floor was soaking wet. The employee said that it must be wet because they just mopped. That was not the case....... Water was dripping from the ceiling onto the tile floor, making it extremely slippery!!! Not ideal for an 82 year old woman to walk around on. The ceiling in the bedroom was also leaking.....all over the beds. You would think they would apologize or in the least offer to get us a new room. We actually had to ask them to move us (so that my grandmother would not have to sleep on a wet bed). Cleanliness:The bathrooms looked dirty. The tiled floor had grime buildup and the toilets and sinks could use a good scrub. While laying in the uncomfortable beds, you had to stare up at a stained and peeling ceiling. The rooms were NOT cleaned while we were there. Our choices were to either sweep and clean the room ourselves, or stay in a dirty room. We chose to clean it ourselves. Also, there were 4 people in our room and we were only given 2 towels.....did they think we were going to share bath towels??? Food:The food was extremely overpriced (between 24-32 dollars a plate). For that much money, I would expect a great meal. My mother and I decided to share the meal to cut down on cost. is not what we got. We ordered the Mofongo w/ churrasco. Mofongo is a typical Puerto Rican dish made from fried mashed plantains. The waitress said they were out of plantains, but made a Mofongo out of yuca (root veg.). What I was served was a ball of tasteless yuca in the form of mashed potatoes that had absolutely NO FLAVOR. The meat was INEDIBLE....tough and tasted horrible. Others at my table tasted it an agreed. I wasn\'t going to say anything to the staff, but the waitress asked. She wanted to know why we did not the meal. When we expressed our dissatisfaction with the meal, she just shrugged it off and walked away. When we got the bill, the horrible uneaten meal was not taken off. We had to pay for bad food we could not eat!Rooms:Not enough towels, Not cleaned daily, Uncomfortable beds and HORRIBLE futon, NO iron, No hair dryer...At least there was HBO to have something to look at other than all the room flaws!Staff:The staff was friendly.',neg
'Rooms tired, shower mouldy needed cleaning, room furniture old and tatty, in need of renovation.Pool was great however dampen the experience by missing tiles and dirty muggy water, in need of renovationRestaurant food was very good one of the better ones in Colva.Staff very friendly and helpful, Overall I would not go to this place again',neg
'I would give Alila Goa the hotel and it\'s staff five stars but.....an otherwise amazing hotel experience has been marred by hordes of extremely loud Indian wedding celebrations. I have never been to a beach holiday that was as untranquil as this one. My first impression was wow and Until our last day I thought that the management sort of tried to keep the full paying hotel guests a little shielded, but on our last day at breakfast it was like a fish market with incredibly loud drums and shouting all over the place. In front of our amazing room were Indian guests shouting from one end of the corridor to the other. This hotel is truly paradise if not for the management allowing such behavior and noise.Thank you though to the exceptional restaurant and pool staff.',neg
'Soul vacation is very mediocre and the hotel looks tired. The rooms were spacious but not very clean. The restaurant was really unclean. The rating three star is not based on cleanliness and general upkeep. Don\'t let the snazzy website get your hopes up. The area was ridden with malaria and chikungunya while we were there. One tour guide told us almost everbody in the town of Colva had gotten malaria. I am ashamed as an Indian to potray Goa as a beach resort to foreigners visting India. It is one of the dirtiest cities in India...and I am from Mumbai. Goa overall was dissapointing. If you want a beach go to Kerala. Despite all that the overall service was good.Liked &#x2014 the massage parlorDisliked &#x2014 lack of cleanlioness',neg
'The hotel was previously owned by the government and the new management that has taken over has done little to change that perception. The hotel has been renovated, but unfortunately the staff are either not equipped or cannot handle even basis and simple requests. We had organized a group to stay here and from the airport transfer to the hall and the meals, everything was a disaster. The transfers were missed in spite of reconfirming with the hotel twice. The Banquet halls which were specifically asked to be blocked were given to someone else and we were asked to move to another hall. The food being served, with specific instruction about dietary restrictions were not followed. The hall set up on both the days had to be done by my colleagues and myself with no one from the staff helping us. Despite trying to reach any of the staff, the response were pathetic. Everyone seems to be passing the buck to someone else and no one wants to take responsibility or care for guests.The GM of the property, who met us on arrival and made us a lot of promises, couldn\'t be reached for anything. This is after he telling us that he is reachable at any time. He was always stuck in some meetings and on calls and after trying to reach him thrice, I just gave up. No wonder his staff cares 2 damn hoots about the guests. The service at their coffee shop (24/7) was a joke and even after being seated at the time for 10 mins, no water was served.The only saving grace for this property are the their speciality restaurants. One serves amazing Indian foods and the other specializes in Pan Asian food.This property is just not worth it and I hope anyone travelling to Bangalore and planning to stay there would prefer going down the road to many more properties that offer better services, are more attentive to guests needs and are priced on par and even lesser than this property.My advise, unless you are ok with putting up with mediocre (Bordering on Pathetic) service, swipe your card someplace else and not in this hotel.',neg
'First thing first... I am really wondering why this hotel has such a wonderful reviews in Trip advisor and other travel website. And these reviews on trip advisor motivated me to select this hotel.Location of this hotel (Soul Vacation) is near Colva beach, which is located in Southern part of Goa. And almost most of the happening and fun beaches are located in North Goa. So you can enjoy beach (Colva) near this hotel for one day almost.. Morning, evening and next day morning but then you have to travel to other places. We had to travel a lot ..:( and will coming back its late in night, which is not good for a new city.Let me explain a brief about Goa, it is basically divided into three part ..North Goa, which has good and happening beaches and most of beaches are located here.. Then Panaji, this is central part and it mid way between North and South Goa capital of Goa , most of Churches are located here and Ferry is here. And then South Goa, not many beaches are there..in fact there are only two beaches but the main railway station, Margoa is here and it is abt 3-5 km from this hotel. I will recommend location to stay in Goa near to Calangute - Baga beach or Panjim (panaji).We had opted for Candle light dinner after going through there impressive website I must say their website is very fancy and multimedia rich. But the way they serve food and menu was not very good. Menu was very very limited in Offering and they call it complimentary dinner and everything is way away from a romantic thing. Housekeeping is good. Internet is very very expensive abt 125 INR(3$) per hour. And there is no much difference between standard and deluxe room. Manager name is Durav.We felt this hotel to be expensive when compared to most of other hotels in Goa.Considering all this I feel hotel NOT recommend.',neg
'We have experienced the worst service ever at the Italian Restaurant. A lot of attitude by one of the Hostess, when we asked for the menu actually gave it to us by saying \'\' Here Take\'\'.We packed up some food where the pizza box was just put on our table half open.Completely disgusted and will never visit this place again.',neg
'First, the GOODGREAT view from the room, room amenities are first world, staff are polite, futon sofa is comfortable to sit on, two bathrooms in a one bedroom is pretty sweet--we used one for the baby\'s portable crib so she could be in darkness at night. The kitchen has a full fridge, a big microwave, and a two plate stove--enough to be able to cook meals easily. Flamenco Beach--superb! Rent a car and bring it over to the island--it\'s much cheaper than renting on the island.Next, the BADIf you have an immediate problem that can quickly be solved, they\'ll help you. We asked for a tablecloth to make our table look special one night--they brought one right over. If it\'s a more serious problem that can\'t be dealt with immediately, well, it didn\'t get dealt with at all. See below--the UGLY section.The mosquitos--we went in the Dec-Jan. season and the mosquitos were a problem, but apparently this is nothing compared to the summer season. Wear repellent, especially if you\'re near the check in area.One check-in staff member says there\'s no laundry facilities and points out on a map where to go to get laundry done. Days later, another staff member explains, no, you can get it done here but only between certain hours when they\'re not using the machines.The whirlpool doesn\'t function--it\'s just the regular pool temperature water.The UGLYThe staff, as nice as they are, well you judge:I was supposed to be picked up from the ferry (it\'s an amenity they provide). I called to let them know I arrived as they ask you to do. 45 minutes later, I call them and ask where my ride is. I\'m told he\'s leaving now. When I ask the driver how long he\'s been waiting around the Bahia Marina, he tells me 20 minutes. She didn\'t relay the message--and if I hadn\'t called, I\'d still be waiting there for him.My family needed to catch the ferry at 6:30am on a Sunday. He we go again. I made it clear to the checkout person it was imperative that we make that ferry so that we can catch our flight back to Toronto. She called the driver in front of me. Because of previous problems with the staff, I asked for the driver\'s phone number. She gave it to me, but explained, he picks me up every morning. He\'s very reliable. 6:00am comes and goes and no ride. The driver isn\'t answering his phone. The binder they provide in the suites gives NO emergency number and NO land taxi number. We miss our 6:30am ferry. Finally, the regular driver shows up and explains the driver they got me was a taxi driver they use regularly when the pickup/drop off happens outside the regular driver\'s hours. Long story short, we ended up chartering a flight for $400 USD (and get a taxi $12USD to the ferry parking lot) as no regular flights had space before and the resident manager refused to take responsibility and pay for it. He said it\'s the taxi driver\'s fault. Excuse me, but didn\'t you call a taxi on behalf of the Bahia Marina to fulfill the amenity of free pick-up and drop off? Wasn\'t I promised by your employee at the front desk taht there\'d be no problem? Eventually, after SEVERAL follow-up calls to avery friendly but not so reliable reservation agent, the top manager was willing to refund the $400USD and when I asked to have it placed on my credit card so the money would help pay my bills before the statement due date, they subtracted 4\% for credit card fees. I\'ll never see the $12USD for the taxi or $12USD for the fees and I\'m pleased to be getting most of it back considering the service I got from them--there\'s so much more.The cleaning service--they will take out your garbage and usually make the beds--that\'s all? Yup--that is what their binder in each room refers to as regular service. If you want towel service, you need to put the towels in the bin they provide. If you want counters, tables, etc. cleaned, you have to chase them down. The manager of the cleaning staff says it\'s hard to get professional help on the island. This is her excuse. The toilet was filthy for DAYS and we finally got them to clean it after chasing them down, as well as cleaning the kitchen table.We reported the first or second day that there was a strong wind blowing between the two glass balcony doors that made it sound as though we were having a thunder storm outside CONSTANTLY. The resident manger said he\'d get it looked at and fixed. NEVER HAPPENED.',neg
'in this beatifull resort, the management locked the nice central pool for a wedding parry, not allowing any other of the guests to swim . it seems that a weddingparty is more important to te manager than his guests. after complaining , nothing changed , and the normal guests were not taken seriously. i have never seen something happening like this in a 5 star resort.',neg
'Disliked &#x2014',neg
'Its a IT city of India but this property is not worth with the price tag attached you can get many other hotels in this city which are worth staying for. Its a big property but not well maintained, Rooms are big but quality of material and decoration is very poor. Restaurant is not that great in terms of choice of food and quality. Overall not a great hotel to stay with your family or on business.Liked &#x2014 nothing is that goodDisliked &#x2014 its bad',neg
'I stayed here for my final 2 nights in Bangalore after a 4 month business trip - we chose it for its proximity to the airport and because the Taj West End was full :-(It isn\'t the prettiest hotel but it is functional and the pool and gym are pretty good. The room (we had a suite) was a good size but smelt musty especially in the bathroom as if damp towels had been left in there for a few days.The real problem lies in the service in the 24/7 Cafe - it was nothing short of awful. You suffer the usual invisibility challenge that seems to have beset Bangalore hotels in the last year or so but then the speed of service gets worse. We ordered some drinks and some pasta for the 2 boys (both under 4), after prompting them after 20 minutes or so I got a beer but the orange juice was still en route from California I presume.Eventually, 30 mins plus the pasta arrived and was ferociously spicy - no joy for the kids, so back it went. Finally the pasta arrived and we fed two (now raging) young boys. We never saw the other dishes we ordered but thankfully didn\'t pay for them either.Breakfast on day 2 was more of the same, we were once again wearing our cloaks of invisibility and the general feel was one of damn these demanding customers, don\'t they see we are busy. The buffet was average at best and the tea (one of my personal markers of quality) was foul.Would I stay again, not whilst the sun comes up. I\'m sure if you are a conference delegate or similar than the hotel probably does a passable job, but compared to the other options in Bangalore - Oberoi, Taj (x3), Ista, etc etc it is very second tier.',neg
'We booked a 4 star trip around India, concluding with a stay in what looked like (if you believe the website) an idillic retreat with great service, facilities and accomodation. What we found when we arrived is still shocking...the entrance is the start, poorly maintained but laughably has a sign quoting their 30 luxuary rooms. When we were taken to our room, a deluxe room, the interior was anything but stylish. The furniture and room fitting are old, painted a dirty cream (not white), the bathroom was small, poorly lit, the shower was covered in mould, the sink and toilet surround stained, plugs not fitted to the wall, towels stained and worn...the bed linen was as bad, we had them change the entire bedding before we\'d go near it. The first morning we\'d hoped for improvement but the rest of the hotel was unfortunately no better, the pool was dirty and was stained green, it had tiles broken throughout with loose tiles lying on the bottom of the pool (and a printed sign saying they couldn\'t do the maintenance as it was the sesson and they\'d need 9 days to complete the repairs), the bar had dirty cushions and was covered in brown stains, the breakfast food was appauling, the service even worse...we eventually after much chasing and battling with our travel company left after three horrible nights...if you think I\'m being extreme then please do look at my photos before you book this hotel.',neg
'This hotel has an overall good look on the outside but is poorly done on the inside. The bathrooms have a perpetual sewer stench. The wood in the doors is getting rotten up or falling off... the worst of it being seen in the bathrooms. The WC looks old and dirty with pathetic level of cleanliness being maintained.The place is usually full of noisy people with ill-behaved kids. The kids were washing their dirty feet in the pool which can\'t even be called a pool. Its a glorified Fountain.We only stayed for one night so it was bearable. Not recommended for more than one night stay!Breakfast was horrid. Only one egg dish... that too cold. It caters to a North Indian food crowd.Only Plus here is the Location... on the mian Vagatore-Anjuna RoadRoom Tip: A road facing room suited us betterSee more room tips',neg
'First the good points: great views, friendly locals who work at the place, the pick up from the airport, and excellent ceviche. But oh dear lord: the roaches the flooding through the doors, windows and patio door the paper-thin walls the smell of mildew the denial of some of the workers that anything was the matter with the rooms and the coral reefs (they\'re terribly bleached and threatened with over fishing, and the garbage left on all the beaches or spilling out of the landfill at Tamarindo beach was depressing-- and yet, the staff insisted the islanders were environmentally aware). In short, do not stay here. And if you\'re a snorkeler coming to Culebra, bring your anti-depressants and stay down the road at Club Seaborne.',neg
'Excellent pizza to be fair. Otherwise this place is ridculously conceived. Why put a restaurant in a space you could comfortably park a 747? Worse still, the AC is so fierce diners are besrt advised to wear thermals and/or a fur coat, if their ethics allow. We asked the staff to turn it down, which they said they did, but the space is so cavernous, we\'d probably need to have waited till midnight to notice the effect. Further negative is that the table was too high for the seating. I felt like asking for a high chair. I sent back the mushroom risotto as it was way oversalted. The chef came out to do his tour of the tables and apologised and said it was down to the parmesan cheese being salty but in a place charging 5 star prices, I expect the cook to taste the food to check the seasoning. To cap a disappointing evening the grappa I requested was billed as large, even though I ordered a single. This is an irritating trend in restaurants in India. I insisted they remove 650 rupees from the bill, which they did. Staff friendly and helpful but this restaurant is not up to standard.',neg
'While I understand that this place is in a remote setting I was disappointed in the hotel. Room smelled musty and sheets and towels were quite rough. Came into the room and the AC had not even been turned on. Took a long time to cool the room down. Pool area was nice. Lack of breakfast and lunch is a big negative. At the very least they should have some kind of small convenience store or vending machine. While these were issues, my biggest complaint is a charge to my credit card that I did not make. When trying to get this issue resolved the hotel staff was not helpful at all and could not effectively look up my records. I had to call multiple times to even talk to someone and in the end had to contact my credit card company directly to properly address the issue.',neg
'Nice hotel on the outside but terrible once you check in. The staff is rude and most unwilling to help! The perpetual stink in the rooms/bathrooms is so unbearable that you want to stay outside of your room most of the time. The staff needs serious training - housekeeping on cleanliness and front office on smiling and welcoming guests.Most avoidable...Not recommended.Room Tip: If you have to stay here look for a room that does not smell!See more room tips',neg
'For those who have enjoyed Taj Hospitality would experience some far less ordinary from the Taj Blue Diamond. It was fairly late about past midnight when I arrived for my check in, while I had booked for a non smoking, King Bed, that wasnt available and to make things worse it was on the smoking floor. Whats worse about the 1st Floor is that this is the floor that is yet to be renovated, the furniture is mica laminated and the room has a really bulky 25\' TV is placed on dresser, the mattress was hard, the telephone keys had faded beyond recognition. A room of this sort should be about $ 40 (Rs.2000) /night. Anyways I was too tired to go find another hotel given that it was already late. I was booked for 2 nights, but decided to check out the following morning. The duty manager offered another room on a renovated floor, king size, non smoking. I moved to the new room on the 4th floor, which was closer to what you should be accustomed from the Taj. If you\'re getting to the Taj Blue Diamond, be double sure that you\'re on the new floors.Overall: Poor hotel, but a helpful and efficient staff that does its best to make up for what the product lacks. Taj would be better off not offering the first floor to its customers, it seriously impairs their brand image and what they have stood to build over all these years.',neg
'Old pune hotel, awful food, not much choice, was stinking of paint because renovation was going on. Middle of the city, overlooking the railway station. Rooms are standard. I have stayed multiple time but this time the experience was not so good. With Pune offering more choices of 5 stars now, this one can be avoided.',neg
'I had stayed in this hotel sometime back. I must say that after the renovation the hotel has got a new and fresh look but absolutely pathetic staff. The Coffee Shop experience is fantastic. Look out for their Manager Ganesh. I guess he has the most warm and best smile in the world. Absolutely fantastic. The rooms are ok, for one night. The walls are too thin and you can almost hear the guy next door snoring. The housekeeping staff is friendly. Now comes the worst part of the hotel that completely ruined my experience and the efforts of all other staff. The Reception!!! I mean what\'s wrong with these guys. The employees can barely communicate in English. My driver can speak better English than any of the reception staff. I had a problem with my car booking which was confirmed by me almost 8 hours prior. When i came for checking out the staff did not have a clue about the booking. When i showed my dissatisfaction a fat fair looking lady who is supposed to be the Duty Manager approached me and tried to apologies in her absolutely ridiculous and broken English and I could not make out anything from the conversation. Finally i had to speak to her Hindi and explain my concern to her. I thought that at least Taj should employ such staff who are professional and have good communication skills. I don\'t know how do they communicate with foreigners. After that lady went a short fat looking man came to further increase my pain. He said that he is the Manager. Although he did not look like one from any angle and on top of that he was show casing the love bite on his neck as he has won some award . He was extremely rude and stressed on the fact that the car problem is mine and not his. He also went ahead and tried to gift me something so that I forget about my problem. How can a gift or anything complimentary solve my problem!!! This is absolutely ridiculous. On top of that he told me to mark him excellent on some online form. Well forget about excellent, if there was something below poor i would give you that. His English was worse than his junior\'s. I would like to ask the General Manager, how can you hire such staff. I have visited other Taj properties and many other hotels worldwide, but the quality of your reception staff in this hotel is extremely bad. The Duty Manager is supposed to be the face of the hotel and over here we have some illiterate girl doing the task and that too in the most unprofessional manner. The staff who was preparing my bills was totally confused when asked about the taxes. I did not want to speak to that fat lady anymore and hence silently settle my bills and lest in complete disgust. I would request all the members to be extremely careful at this particular place because the staff is highly irresponsible and absolutely useless.Please do something about this because it tends to ruin the efforts being put in by the other staff of the hotel.',neg
'I have stayed in this hotel twice. The second time I found it worse than the first.While the hotel itself is new and clean and well-located, its the other things that irritate you. For some reason my company has not negotiated a stay inclusive of breakfast. Now which hotel, in this age, charges 7K for a room without breakfast ??? #FAILThe rooms are full of metal which is always cold because of the A/C. No wood in the hotel rooms at all.Overall not value for money at all.Cheers',neg
'My experience was mixed. Some aspects of this hotel were great - a lovely private location, and fresh infrastructure. Others were very disappointing. In the latter category I\'d put virtually all my dealings with the front desk. The driver assigned to pick me up at the airport failed to show, and when I called (late at night, when the town was cold and windy) I was initially told simply to wait 30 minutes because the car had broken down. File that under not my problem. When I pushed the problem to management, they responded quickly, getting a replacement car to me in less than ten minutes, and made a much appreciated effort to apologise for this lapse. I was ready to forgive and forget, but I then faced problem after problem with front desk staff who simply didn\'t seem to understand the level of service expected at a hotel striving for five stars. For example, when I went to arrange my car back to the airport a full day before my departure, I was given many options (wake up call, breakfast box etc), all of which was scribbled out on a scrap of paper in front of me...not very reassuring. At the end of this the clerk asked, as if the thought had just struck him, if I also wanted a car to take me to the airport...kind of the point, as I had made clear. We then had another five minutes where I repeated the same information, i.e. the wake up call, the pick up time, the breakfast box. I asked him to confirm all this to me by email when, six hours later, there was still no email, I had to contact the managers again - again I was reassured. Then, at 8:00 pm the night before I departed, I received a call from front desk asking if I wanted a wake up call, car to the airport...Very early the following morning, the wake up call was five minutes late, and I had to call twice to get picked up by the standard golf cart shuttle - my second call was fully ten minutes after the first, and yet the clerk was clearly annoyed that I was doubting his word. When I got to the front desk, the bill wasn\'t ready on arrival, and had to be printed out slowly. Items from the minibar that I\'d had on my first day weren\'t charged yet, and when they discovered this there was a noticeably accusatory tone, as if it was my fault that the hotel hadn\'t bothered to restock the minibar in the several days I was there. Then when I went out to get into my car, my bags weren\'t there - while they had been picked up with me at my suite and placed in the same golf cart that I\'d been driven in, they hadn\'t been removed from the cart and were being given a spontaneous tour of the hotel grounds when the driver went to pick up someone else. They reappeared, and were loaded in the car. I was then subjected an uninterrupted slow begging process from the car driver the entire way to the airport, despite having paid a small fortune to the hotel. (Yes, it is probably unkind/insensitive of me to begrudge such begging, a fine tradition there, but frankly I think the hotel could afford to pay the drivers a better than average wage in exchange for an explicit no tipping policy).Unfortunately, while my direct experiences with the management were invariably positive, I have to conclude that they aren\'t making progress in instilling a genuine service mentality in the junior front desk staff. At a $100 or $150 hotel this would be forgivable at a hotel charging five times that it is not.The other problem I had was with the lack of sound insulation between my suite and my neighbors. There was a single connecting door that did nothing to prevent me from hearing everything going on next door, including the occupant humming along to music videos. Again, not at all in keeping with the private and tranquil image the hotel clearly wants to project.Liked &#x2014 Nice layoutDisliked &#x2014 Bad front desk',neg
'The hotel has good rooms but the problem with air-conditioning made my stay very uncomfortable. The rooms are of right size. The location of the hotel is very good for those who have work in Electronic city. For others, this may be too far, especially from the new airport.',neg
'My family and I traveled to Culebra for the first time in early July, once we arrived to the dock we waited about 20 - 25 minutes for someone from the hotel to pick us up. Once we arrived to the hotel, it was desolate and deserted! If it weren\'t for the fact that other passengers were checking in with us I would\'ve thought we were the only ones in the hotel. there was no music the atmosphere was just BORING!!! We were unable to find a cab to take us to town, the food at the hotel was OVER PRICED! and it really wasn\'t worth the money. The staff at the hotel if you can call them that were very unwelcoming!! I had no idea that they breakfast was not an option at this hotel! The only good thing I can say about the hotel is that the room was decent, other than that I find this to be a bit over priced and over-rated!!! Oh, I called numerous times and also emailed to try and reconfirm my reservations and no one ever called me back!Room Tip: Room was clean....that&#39s it!See more room tips',neg
